Eastern Conference Teams,Short form East,,Western Conference Teams,Short form West
Milwaukee Bucks,MIL,,Los Angeles Lakers,LAL
Toronto Raptors,TOR,,Denver Nuggets,DEN
Miami Heat,MIA,,LA Clippers,LAC
Boston Celtics,BOS,,Houston Rockets,HOU
Philadelhpia 76ers,PHI,,Dallas Mavericks,DAL
Indiana Pacers,IND,,Utah Jazz,UTA
Brooklyn Nets,BKN,,Minnesota Timberwolves,MIN
Orlando Magic,ORL,,Phoenix Suns,PHX
Charlotte Hornets,CHA,,Sacramento Kings,SAC
Washington Wizards,WAS,,Portland Trail Blazers,POR
Detroit Pistons,DET,,Oklahoma City Thunder,OKC
Chicago Bulls,CHI,,San Antonio Spurs,SAS
Cleveland Cavaliers,CLE,,New Orleans Pelicans,NOP
New York Knicks,NYK,,Memphis Grizzlies,MEM
Atlanta Hawks,ATL,,Golden State Warriors,GSW
